formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
RbSn2Br5,2.3883,0.011171426562494258,-1.3810984478125024,541.7931206717709,4.428208221267831,16,140
TlSn2Br5,2.3623,0.026711095624998293,-1.1410543010416676,518.8023908303451,5.385673751451753,16,140
SnHg6(As2Br3)2,1.3664,0.0,-0.5397963972058849,2071.212081472539,6.7388387182457095,68,198
K2SnBr6,1.1772,0.01618583111111116,-1.5280859805,301.77362751392855,3.7215756527772417,9,225
Rb2SnBr6,1.3166000000000002,0.0,-1.5713690522222206,313.37459192801026,4.075219084168925,9,225
SnHg7(P2Br3)2,1.6526999999999998,0.0,-0.5090195885317483,2100.1841725053782,6.724305824531609,72,198
K2SnBr6,1.6124,0.0,-1.5442718116111114,606.5644005532896,3.7030639575341753,18,14
Cs2SnBr6,1.4466,0.0,-1.609659967145594,331.5067533175784,4.327556684131536,9,225
K2SnBr6,1.5568,0.006394619999999129,-1.5378771916111118,600.1884705547169,3.742402394928106,18,128
Sn7(SBr5)2,2.0140000000000002,0.11100034289473504,-0.9603174478947366,750.8043786552089,3.746895647117722,19,1
Sn4H26(Br4O5)3,2.1928,0.1293712489473684,-1.1513990471491231,1864.958723522881,3.027119206666594,114,2
Sn4H26(Br4O5)3,2.1925,0.13012688535087857,-1.1506434107456136,1892.9420200953457,2.9823694078766194,114,7
Sn2IF3,2.4336,0.06673149767361153,-2.049539410833333,288.73726349130453,4.8460512510310325,12,20
RbSnIO6,2.1663,0.0,-1.5147969719444443,319.8376926509737,4.434629396925351,18,182
Sn2IF3,2.3739000000000003,0.0674994118402763,-2.0487714966666677,273.1558505159604,5.122480716844673,12,63
Sn2SI2,1.6146000000000003,0.0,-0.7331438765000006,2169.6856478165105,4.805949835766613,60,62
KSnI3,2.3326000000000002,0.0,-1.1241006219500025,836.2062838205491,4.277587271078246,20,62
TlSnI3,1.9104999999999999,0.0,-0.8054596336666705,410.1888338873855,5.698343993653939,10,63
Sn2SbSe2I3,1.0446999999999997,0.17789386828124965,-0.4929558574609372,620.6136147874507,4.804452265894557,16,36
Sn2SbS2I3,1.0658532435391392,0.05588721843749944,-0.6295230662499995,564.3843504904992,4.731216531680775,16,36
CsSnI3,2.0632626904348133,0.0032493385000011976,-1.1782869814310346,910.5575123531858,4.612588509108446,20,62
RbSnI3,2.0077,0.0,-1.1522616044999991,862.5786152100532,4.503866375293244,20,62
Sn2SbS2I3,0.6252000000000004,0.08889504468749942,-0.5965152399999996,504.7433811528839,5.290261683399411,16,63
CsSnI3,0.6097000000000001,0.011059161000003481,-1.1704771589310325,956.3187092803578,4.391869653499983,20,62
CsSnI3,0.5435000000000003,0.011843993999997693,-1.1696923259310381,477.1049992694422,4.401575255754903,10,127
